Batsman_name,avgScore,avgStrikeRate,CLUSTER
Aavishkar Madhav Salvi,8.0,69.56,5
Amit Singh,2.16,54.16,5
Ashish Nehra,5.3,67.64,5
Ashok Bhimchandra Dinda,4.56,67.59,5
Balapuwaduge Ajantha Winslo Mendis,5.34,69.49,5
Beuran Eric Hendricks,7.0,67.74,5
Doddapaneni Kalyankrishna,2.0,50.0,5
Domnic Joseph Muthuswami,3.0,60.0,5
Glenn Donald McGrath,3.0,50.0,5
Karanveer Singh,18.0,66.66,5
Lovesh Ablash,1.0,50.0,5
Makhaya Ntini,5.0,69.76,5
Mohammad Mustafizur Rahman,2.25,69.23,5
Mohammed Shami,3.66,62.85,5
Murugan Ashwin,1.5,50.0,5
Muttiah Muralitharan,3.37,73.63,5
Pankaj Singh,5.45,69.76,5
Parvinder Awana,4.4,51.16,5
Patangay Manikrao Sarvesh Kumar,1.0,50.0,5
Pragyan Prayish Ojha,4.23,68.57,5
Prasanth Parameswaran,7.5,75.0,5
Pravin Vijay Tambe,9.0,53.73,5
Rahul Mahesh Yadav,4.75,63.33,5
Rajesh Vithal Pawar,2.33,50.0,5
Ronit Gajanan More,5.0,62.5,5
Rudra Pratap Singh,4.32,72.97,5
Ryan Ninan,3.0,50.0,5
Sandeep Sharma,20.0,66.66,5
Sarabjit Singh Ladda,2.5,41.66,5
Sudeep Tyagi,5.0,71.42,5
Tabraiz Shamsi,4.85,54.83,5
Taruwar Kohli,10.07,70.85,5
Trent Alexander Boult,4.14,61.7,5
Xavier Thalaivan Sargunam,10.0,58.82,5
Yusuf Adam Abdulla,8.66,72.22,5
Yuzvendra Singh Chahal,6.2,75.6,5
