Bowler_name,avgScore,avgStrikeRate,CLUSTER
Samuel Badree,3135,146,5.61,7
Mohammad Hafeez,2939,135,6.23,7
Murali Kartik,3069,110,6.74,7
George Bradley Hogg,2645,125,6.81,7
Mohammad Imran Tahir,2862,156,6.88,7
Balapuwaduge Ajantha Winslo Mendis,2617,159,6.89,7
Shoaib Malik,2486,114,7.03,7
Roelof Erasmus van der Merwe,2934,142,7.06,7
Robin John Peterson,2630,122,7.09,7
Pragyan Prayish Ojha,2771,148,7.13,7
Kevon Keston Cooper,2821,165,7.16,7
Adrian Dimitri Mascarenhas,2647,152,7.1,7
Nathan Leslie McCullum,3162,157,7.18,7
Juan Theron,2586,135,7.21,7
Brett Lee,2706,109,7.22,7
Ravindranath Rampaul,2446,145,7.34,7
Scott Bernard Styris,2963,125,7.36,7
Umar Gul,2932,188,7.37,7
Zaheer Khan,2803,129,7.46,7
Rudra Pratap Singh,2903,146,7.51,7
Wayne Dillon Parnell,2912,146,7.51,7
Ashish Nehra,2586,146,7.61,7
Christopher Henry Morris,2614,150,7.6,7
Jacques Henry Kallis,2747,114,7.6,7
Ravindrasinh Anirudhsinh Jadeja,2777,119,7.67,7
Douglas Erwin Bollinger,2596,134,7.73,7
Darren Julius Garvey Sammy,3054,146,7.74,7
James Peter Faulkner,2792,158,7.86,7
Graham Richard Napier,2905,164,7.91,7
Ranganath Vinay Kumar,3028,155,7.91,7
Ryan McLaren,3027,140,7.92,7
Timothy Grant Southee,2591,135,8.17,7
Daniel Trevor Christian,2816,130,8.28,7
Narangoda Liyanaarachchilage Tissara Chirantha Perera,2878,155,8.37,7
