Aaron James Finch,203,6,9.39
Aavishkar Madhav Salvi,389,18,8.12
Abhimanyu Mithun,834,41,8.26
Abhinav Mukund,105,11,5.77
Abhishek Arunkumar Jhunjhunwala,121,3,8.52
Abhishek Mohan Nayar,553,22,8.35
Abhishek Santosh Raut,152,9,8.48
Abrar Anjum Kazi,66,2,8.27
Abu Nachim Ahmed,1051,48,7.78
Adam Charles Voges,542,26,7.94
Adam Craig Gilchrist,1,1,0
Adam Fraser Milne,1200,64,7.71
Adam John Hollioake,385,40,8.02
Adam Zampa,1083,64,7
Aditya Pradeep Dole,66,5,10.18
Adrian Dimitri Mascarenhas,2647,152,7.1
Aiden Craig Blizzard,6,0,10
Ajinkya Madhukar Rahane,6,1,5
Ajit Bhalchandra Agarkar,1172,47,8.23
Ajit Chandila,472,24,6.31
Akashdeep Deependra Nath,126,8,8
Akshar Rajeshbhai Patel,1522,69,6.9
Alfonso Clive Thomas,4558,263,7.55
Ali Ghulam Murtaza,654,32,6.98
Amit Mishra,3569,199,7.03
Amit Singh,628,34,7.69
Amit Uniyal,60,5,8.8
Ammana Ashish Reddy,826,53,7.83
Anand Rajan,689,47,6.82
Andre Dwayne Russell,3779,201,8.13
Andre Nel,1240,37,6.74
Andrew Barry McDonald,1470,82,7.7
Andrew Flintoff,657,39,7.55
Andrew Symonds,1237,52,8.03
Angelo Davis Mathews,1933,78,7.27
Anil Kumble,1245,57,6.69
Ankeet Anil Chavan,476,19,7.97
Ankit Nagendra Sharma,799,33,7.32
Ankitsingh Rajpoot,439,25,7.28
Asadullah Khan Pathan,39,0,9.69
Ashish Nehra,2586,146,7.61
Ashley Allan Noffke,634,38,7.46
Ashok Bhimchandra Dinda,2305,117,7.61
Ashok Lakshminarayan Menaria,445,17,6.51
Azhar Mahmood Sagar,4825,258,7.63
Balachandra Akhil,535,24,7.15
Balapuwaduge Ajantha Winslo Mendis,2617,159,6.89
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,1092,61,7.18
Barinder Sran,519,28,7.75
Ben James Rohrer,6,0,12
Ben Laughlin,1846,109,7.77
Ben Robert Dunk,12,0,10.5
Benjamin Colin James Cutting,1047,47,8.41
Benjamin William Hilfenhaus,1666,96,7.5
Beuran Eric Hendricks,876,61,8.23
Bharat Chipli,24,1,11
Bhargav Ashokbhai Bhatt,684,41,7.66
Bhuvneshwar Kumar Singh,2229,108,7.06
Biplab Bipin Samantray,539,22,6.35
Bipul Sharma,1096,57,6.54
Bodapati Apparao Sumanth,24,0,8.75
Bradley John Hodge,1110,65,7.8
Brett Geeves,302,19,9.15
Brett Lee,2706,109,7.22
Cameron Leon White,484,26,8.77
Carlos Ricardo Brathwaite,1093,48,7.5
Chamara Kantha Kapugedera,112,7,8.67
Chandrasekharan Ganapathy,496,33,6.42
Charl Kenneth Langeveldt,2332,138,7.62
Chetanya Nanda,366,18,6.91
Christopher Austin Lynn,78,3,7.15
Christopher Henry Gayle,1864,77,7.54
Christopher Henry Morris,2614,150,7.6
Christopher James Jordan,1219,61,8.64
Clinton James McKay,2061,117,7.84
Colin Alexander Ingram,272,15,7.54
Colin Munro,286,12,9.69
Congenige Randhi Dilhara Fernando,1187,74,7.8
Corey James Anderson,564,24,8.56
Dale Willem Steyn,3975,201,6.67
