Aaron James Finch
Aavishkar Madhav Salvi
Abhimanyu Mithun
Abhinav Mukund
Abhishek Arunkumar Jhunjhunwala
Abhishek Mohan Nayar
Abhishek Santosh Raut
Abrar Anjum Kazi
Abu Nachim Ahmed
Adam Charles Voges
Adam Craig Gilchrist
Adam Fraser Milne
Adam John Hollioake
Adam Zampa
Aditya Pradeep Dole
Adrian Dimitri Mascarenhas
Aiden Craig Blizzard
Ajinkya Madhukar Rahane
Ajit Bhalchandra Agarkar
Ajit Chandila
Akashdeep Deependra Nath
Akshar Rajeshbhai Patel
Alfonso Clive Thomas
Ali Ghulam Murtaza
Amit Mishra
Amit Singh
Amit Uniyal
Ammana Ashish Reddy
Anand Rajan
Andre Dwayne Russell
Andre Nel
Andrew Barry McDonald
Andrew Flintoff
Andrew Symonds
Angelo Davis Mathews
Anil Kumble
Ankeet Anil Chavan
Ankit Nagendra Sharma
Ankitsingh Rajpoot
Asadullah Khan Pathan
Ashish Nehra
Ashley Allan Noffke
Ashok Bhimchandra Dinda
Ashok Lakshminarayan Menaria
Azhar Mahmood Sagar
Balachandra Akhil
Balapuwaduge Ajantha Winslo Mendis
Balapuwaduge Manukulasuriya Amith Jeewan Mendis
Barinder Sran
Ben James Rohrer
Ben Laughlin
Ben Robert Dunk
Benjamin Colin James Cutting
Benjamin William Hilfenhaus
Beuran Eric Hendricks
Bharat Chipli
Bhargav Ashokbhai Bhatt
Bhuvneshwar Kumar Singh
Biplab Bipin Samantray
Bipul Sharma
Bodapati Apparao Sumanth
Bradley John Hodge
Brett Geeves
Brett Lee
Cameron Leon White
Carlos Ricardo Brathwaite
Chamara Kantha Kapugedera
Chandrasekharan Ganapathy
Charl Kenneth Langeveldt
Chetanya Nanda
Christopher Austin Lynn
Christopher Henry Gayle
Christopher Henry Morris
Christopher James Jordan
Clinton James McKay
Colin Alexander Ingram
Colin Munro
Congenige Randhi Dilhara Fernando
Corey James Anderson
Dale Willem Steyn
Daniel Joseph Harris
Daniel Luca Vettori
Daniel Trevor Christian
Darren Julius Garvey Sammy
Darren Scott Lehmann
David Andrew Miller
David Andrew Warner
David Johan Jacobs
David John Hussey
David Wiese
Deepak Hooda
Deepak Lokandersingh Chahar
Demuni Nuwan Tharanga Zoysa
Denagamage Proboth Mahela de Silva Jayawardene
Dharaka Bhanidipati Ravi Teja
Dhawal Sunil Kulkarni
