Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy
Aaron James Finch,203,0,318,6,1-9,53,0,0,33.83,9.39
Aavishkar Madhav Salvi,389,0,527,18,3-28,29.27,0,0,21.61,8.12
Abhimanyu Mithun,834,0,1149,41,5-37,28.02,0,1,20.34,8.26
Abhinav Mukund,105,0,101,11,3-22,9.18,0,0,9.54,5.77
Abhishek Arunkumar Jhunjhunwala,121,0,172,3,1-5,57.33,0,0,40.33,8.52
Abhishek Mohan Nayar,553,0,770,22,3-13,35,0,0,25.13,8.35
Abhishek Santosh Raut,152,0,215,9,3-22,23.88,0,0,16.88,8.48
Abrar Anjum Kazi,66,0,91,2,2-25,45.5,0,0,33,8.27
Abu Nachim Ahmed,1051,2,1364,48,4-21,28.41,1,0,21.89,7.78
Adam Charles Voges,542,0,718,26,2-4,27.61,0,0,20.84,7.94
Adam Craig Gilchrist,1,0,0,1,1-0,0,0,0,1,0
Adam Fraser Milne,1200,7,1543,64,4-37,24.1,1,0,18.75,7.71
Adam John Hollioake,385,0,515,40,5-21,12.87,2,2,9.62,8.02
Adam Zampa,1083,0,1264,64,6-19,19.75,0,1,16.92,7
Aditya Pradeep Dole,66,0,112,5,2-36,22.4,0,0,13.2,10.18
Adrian Dimitri Mascarenhas,2647,8,3133,152,5-14,20.61,1,2,17.41,7.1
Aiden Craig Blizzard,6,0,10,0,0-10,NA,NA,NA,NA,10
Ajinkya Madhukar Rahane,6,0,5,1,1-5,5,0,0,6,5
Ajit Bhalchandra Agarkar,1172,1,1608,47,3-25,34.21,0,0,24.93,8.23
Ajit Chandila,472,0,497,24,4-13,20.7,1,0,19.66,6.31
Akashdeep Deependra Nath,126,0,168,8,3-20,21,0,0,15.75,8
Akshar Rajeshbhai Patel,1522,2,1752,69,4-21,25.39,1,0,22.05,6.9
Alfonso Clive Thomas,4558,15,5739,263,5-24,21.82,4,1,17.33,7.55
Ali Ghulam Murtaza,654,1,761,32,3-9,23.78,0,0,20.43,6.98
Amit Mishra,3569,10,4183,199,5-17,21.02,4,2,17.93,7.03
Amit Singh,628,3,805,34,4-19,23.67,1,0,18.47,7.69
Amit Uniyal,60,0,88,5,3-22,17.6,0,0,12,8.8
Ammana Ashish Reddy,826,2,1079,53,4-22,20.35,1,0,15.58,7.83
Anand Rajan,689,1,784,47,4-26,16.68,1,0,14.65,6.82
Andre Dwayne Russell,3779,4,5122,201,4-11,25.48,7,0,18.8,8.13
Andre Nel,1240,4,1394,37,2-13,37.67,0,0,33.51,6.74
Andrew Barry McDonald,1470,0,1887,82,5-13,23.01,1,1,17.92,7.7
Andrew Flintoff,657,0,827,39,4-12,21.2,1,0,16.84,7.55
Andrew Symonds,1237,1,1657,52,5-18,31.86,0,1,23.78,8.03
Angelo Davis Mathews,1933,5,2343,78,4-19,30.03,1,0,24.78,7.27
Anil Kumble,1245,1,1389,57,5-5,24.36,2,1,21.84,6.69
Ankeet Anil Chavan,476,0,633,19,4-29,33.31,1,0,25.05,7.97
Ankit Nagendra Sharma,799,0,975,33,3-18,29.54,0,0,24.21,7.32
Ankitsingh Rajpoot,439,1,533,25,3-15,21.32,0,0,17.56,7.28
Asadullah Khan Pathan,39,0,63,0,0-14,NA,NA,NA,NA,9.69
Ashish Nehra,2586,3,3283,146,4-10,22.48,2,0,17.71,7.61
Ashley Allan Noffke,634,2,789,38,3-18,20.76,0,0,16.68,7.46
Ashok Bhimchandra Dinda,2305,4,2924,117,4-13,24.99,3,0,19.7,7.61
Ashok Lakshminarayan Menaria,445,0,483,17,3-19,28.41,0,0,26.17,6.51
Azhar Mahmood Sagar,4825,10,6143,258,5-24,23.81,3,1,18.7,7.63
Balachandra Akhil,535,1,638,24,3-16,26.58,0,0,22.29,7.15
Balapuwaduge Ajantha Winslo Mendis,2617,6,3008,159,6-8,18.91,5,2,16.45,6.89
Balapuwaduge Manukulasuriya Amith Jeewan Mendis,1092,1,1307,61,4-14,21.42,2,0,17.9,7.18
Barinder Sran,519,1,671,28,4-10,23.96,1,0,18.53,7.75
Ben James Rohrer,6,0,12,0,0-12,NA,NA,NA,NA,12
Ben Laughlin,1846,4,2393,109,6-28,21.95,1,1,16.93,7.77
Ben Robert Dunk,12,0,21,0,0-10,NA,NA,NA,NA,10.5
Benjamin Colin James Cutting,1047,1,1468,47,3-25,31.23,0,0,22.27,8.41
Benjamin William Hilfenhaus,1666,7,2083,96,4-27,21.69,1,0,17.35,7.5
Beuran Eric Hendricks,876,3,1203,61,6-29,19.72,1,1,14.36,8.23
Bharat Chipli,24,0,44,1,1-24,44,0,0,24,11
Bhargav Ashokbhai Bhatt,684,0,874,41,4-22,21.31,1,0,16.68,7.66
Bhuvneshwar Kumar Singh,2229,8,2623,108,4-14,24.28,2,0,20.63,7.06
Biplab Bipin Samantray,539,0,571,22,3-9,25.95,0,0,24.5,6.35
Bipul Sharma,1096,0,1195,57,4-28,20.96,1,0,19.22,6.54
Bodapati Apparao Sumanth,24,0,35,0,0-5,NA,NA,NA,NA,8.75
Bradley John Hodge,1110,0,1443,65,4-13,22.2,3,0,17.07,7.8
Brett Geeves,302,0,461,19,4-30,24.26,1,0,15.89,9.15
Brett Lee,2706,9,3258,109,4-28,29.88,1,0,24.82,7.22
Cameron Leon White,484,0,708,26,4-10,27.23,1,0,18.61,8.77
Carlos Ricardo Brathwaite,1093,2,1367,48,4-23,28.47,1,0,22.77,7.5
Chamara Kantha Kapugedera,112,0,162,7,3-14,23.14,0,0,16,8.67
Chandrasekharan Ganapathy,496,2,531,33,4-12,16.09,1,0,15.03,6.42
Charl Kenneth Langeveldt,2332,5,2962,138,5-16,21.46,4,1,16.89,7.62
Chetanya Nanda,366,0,422,18,2-17,23.44,0,0,20.33,6.91
Christopher Austin Lynn,78,0,93,3,2-15,31,0,0,26,7.15
Christopher Henry Gayle,1864,0,2343,77,4-22,30.42,2,0,24.2,7.54
Christopher Henry Morris,2614,8,3315,150,4-9,22.1,5,0,17.42,7.6
Christopher James Jordan,1219,0,1756,61,4-11,28.78,2,0,19.98,8.64
Clinton James McKay,2061,5,2696,117,4-24,23.04,3,0,17.61,7.84
Colin Alexander Ingram,272,1,342,15,4-32,22.8,1,0,18.13,7.54
Colin Munro,286,0,462,12,2-26,38.5,0,0,23.83,9.69
Congenige Randhi Dilhara Fernando,1187,5,1544,74,5-17,20.86,4,1,16.04,7.8
Corey James Anderson,564,0,805,24,2-17,33.54,0,0,23.5,8.56
Dale Willem Steyn,3975,11,4423,201,4-9,22,4,0,19.77,6.67
Daniel Joseph Harris,400,0,517,21,3-18,24.61,0,0,19.04,7.75
Daniel Luca Vettori,3236,3,3424,131,4-20,26.13,1,0,24.7,6.34
Daniel Trevor Christian,2816,1,3890,130,5-26,29.92,3,1,21.66,8.28
Darren Julius Garvey Sammy,3054,1,3942,146,5-26,27,2,1,20.91,7.74
Darren Scott Lehmann,228,0,256,11,3-19,23.27,0,0,20.72,6.73
David Andrew Miller,18,0,31,0,0-7,NA,NA,NA,NA,10.33
David Andrew Warner,6,0,13,0,0-13,NA,NA,NA,NA,13
David Johan Jacobs,6,0,14,0,0-14,NA,NA,NA,NA,14
David John Hussey,1438,2,1792,68,3-25,26.35,0,0,21.14,7.47
David Wiese,1821,0,2506,109,5-19,22.99,3,3,16.7,8.25
Deepak Hooda,277,0,353,7,3-23,50.42,0,0,39.57,7.64
Deepak Lokandersingh Chahar,234,1,316,6,2-32,52.66,0,0,39,8.1
Demuni Nuwan Tharanga Zoysa,324,0,376,21,4-10,17.9,2,0,15.42,6.96
Denagamage Proboth Mahela de Silva Jayawardene,69,0,82,3,2-22,27.33,0,0,23,7.13
Dharaka Bhanidipati Ravi Teja,108,1,150,4,1-0,37.5,0,0,27,8.33
Dhawal Sunil Kulkarni,1936,8,2486,104,4-14,23.9,1,0,18.61,7.7
Dillon du Preez,1574,11,1921,78,4-25,24.62,1,0,20.17,7.32
Dinesh Salunkhe,48,0,78,1,1-21,78,0,0,48,9.75
Dirk Peter Nannes,4624,9,5719,257,5-31,22.25,7,2,17.99,7.42
Doddapaneni Kalyankrishna,240,0,353,11,4-16,32.09,1,0,21.81,8.82
Dominic John Thornely,533,0,685,28,4-22,24.46,1,0,19.03,7.71
Domnic Joseph Muthuswami,425,0,532,22,3-33,24.18,0,0,19.31,7.51
Douglas Andrew John Bracewell,797,0,1168,52,3-21,22.46,0,0,15.32,8.79
Douglas Erwin Bollinger,2596,6,3346,134,4-13,24.97,1,0,19.37,7.73
Dwayne John Bravo,6239,2,8407,344,5-23,24.43,8,1,18.13,8.08
Dwayne Romel Smith,1992,3,2609,99,4-8,26.35,2,0,20.12,7.85
Faiz Yakub Fazal,144,0,177,10,2-17,17.7,0,0,14.4,7.37
Farhaan Behardien,114,0,176,5,2-15,35.2,0,0,22.8,9.26
Fidel Henderson Edwards,1778,4,2246,84,5-22,26.73,1,1,21.16,7.57
Francois du Plessis,790,0,917,50,5-19,18.34,1,2,15.8,6.96
Gade Hanuma Vihari,240,0,274,16,3-21,17.12,0,0,15,6.85
Gagandeep Singh Toor,306,1,370,12,2-21,30.83,0,0,25.5,7.25
George Bradley Hogg,2645,3,3003,125,4-9,24.02,5,0,21.16,6.81
George John Bailey,12,0,24,0,0-24,NA,NA,NA,NA,12
Glenn Donald McGrath,432,2,492,20,4-29,24.6,1,0,21.6,6.83
Glenn James Maxwell,1425,1,1880,53,3-13,35.47,0,0,26.88,7.91
Graeme Craig Smith,96,0,148,4,3-23,37,0,0,24,9.25
Graham Richard Napier,2905,7,3831,164,4-10,23.35,2,0,17.71,7.91
Gurinder Singh Sandhu,540,1,701,23,3-19,30.47,0,0,23.47,7.78
Gurkeerat Singh Mann,120,0,148,6,2-15,24.66,0,0,20,7.4
Harbhajan Singh,4302,12,4811,190,5-18,25.32,3,1,22.64,6.7
Hardik Himanshu Pandya,1009,4,1285,45,3-7,28.55,0,0,22.42,7.64
Harmeet Singh Baddhan,24,0,34,1,1-34,34,0,0,24,8.5
Harmeet Singh Bansal,594,0,773,27,3-24,28.62,0,0,22,7.8
Harpreet Singh Bhatia,126,1,113,6,2-15,18.83,0,0,21,5.38
Harshal Vikrambhai Patel,1211,2,1545,55,3-35,28.09,0,0,22.01,7.65
Hashim Mahomed Amla,2,0,5,0,0-1,NA,NA,NA,NA,15
Hewa Kaluhalmullage Suraj Randiv Kaluhalamulla,1116,0,1380,57,4-25,24.21,1,0,19.57,7.41
Irfan Khan Pathan,3283,13,4123,161,5-13,25.6,2,1,20.39,7.53
